From,To,Mean,Std. Dev
Nieuwpoort-43a962e9aa39,Antwerp-03800591867c,9632.980435125268,0.0
Antwerp-03800591867c,Nieuwpoort-43a962e9aa39,14456.33168107268,0.0
Skagen Havn-db9fa00eadc5,Murmansk-9908e9ea9558,7368.698057509501,0.0
Murmansk-9908e9ea9558,Skagen Havn-db9fa00eadc5,3395.4622296439375,21.53703026192355
Mersin-96488f75954b,Ceyhan-3b530c868db0,5962.154763338988,0.0
Ceyhan-3b530c868db0,Mersin-96488f75954b,6529.0652985340475,0.0
Bozcaada-66352f54629d,Odessa-0ecbd229fca4,1794.393419272939,27.511405013733732
Odessa-0ecbd229fca4,Bozcaada-66352f54629d,4703.797487067138,0.0
Odessa-0ecbd229fca4,Novorossiysk-45a5021eee47,8791.329158807495,0.0
Novorossiysk-45a5021eee47,Odessa-0ecbd229fca4,3837.9866819446797,0.0
Icdas-bdb5025eb89f,Fujairah-ca26fade3b91,1758.4925193515992,0.0
Fujairah-ca26fade3b91,Icdas-bdb5025eb89f,3436.38581536978,0.0
Malta Freeport-d3fb8c6279a1,Mellitah-f0d1246755ae,2952.018199614615,464.18540855089105
Mellitah-f0d1246755ae,Malta Freeport-d3fb8c6279a1,848.1725172829413,0.0
Mellitah-f0d1246755ae,Algeciras-f1a4cd999637,15196.590517051623,57.56091936448644
Algeciras-f1a4cd999637,Mellitah-f0d1246755ae,5509.1351014875845,3871.4495321833724
Rotterdam-92c070ce8e92,Lowestoft-fa26f9b6e8fb,7103.932564052533,0.0
Lowestoft-fa26f9b6e8fb,Rotterdam-92c070ce8e92,1264.7631037280653,235.37278153294727
Escombreras-8ff2f5149d51,Bozcaada-66352f54629d,2700.987257500729,0.0
Bozcaada-66352f54629d,Escombreras-8ff2f5149d51,464.6035837473425,0.0
Le Havre-4c8da7f30f05,Donges-29e6374381eb,933.1130669664752,959.7977536614005
Donges-29e6374381eb,Le Havre-4c8da7f30f05,20476.875758575163,0.0
Houston-453dd058edad,Coatzacoalcos-230dbf9a65a3,2764.6498629597854,0.0
Coatzacoalcos-230dbf9a65a3,Houston-453dd058edad,2612.1936823172996,0.0
Coatzacoalcos-230dbf9a65a3,Texas City-28cb23375401,661.288086207048,49.560018815727815
Texas City-28cb23375401,Coatzacoalcos-230dbf9a65a3,5447.785786817307,0.0
Galveston-80916f3912d8,Houston-453dd058edad,4246.104108212362,0.0
Houston-453dd058edad,Galveston-80916f3912d8,4443.379605812465,0.0
Nederland Terminal-aba03a4a335d,Port Arthur-26aba1bc33e8,7441.630085812045,457.46109609327254
Port Arthur-26aba1bc33e8,Nederland Terminal-aba03a4a335d,295.9370379287612,2951.659724948641
Galveston-80916f3912d8,Covenas-76285da2ae54,11157.863598636779,0.0
Covenas-76285da2ae54,Galveston-80916f3912d8,2502.52723935895,0.0
Nakhodka-eaf8326ce14b,Kozmino-62a166ce6f35,8171.240607428989,0.0
Kozmino-62a166ce6f35,Nakhodka-eaf8326ce14b,11621.18212368525,110.19721997701002
Ust-Luga-e9ea2bf59471,Barhoft-78b54c170ecc,1442.885494314582,0.0
Barhoft-78b54c170ecc,Ust-Luga-e9ea2bf59471,1307.158345104837,23.6406436809102
Anholt-246b0793176c,Malmo-a3bc35ec1802,1870.9492224980934,664.3960926602845
Malmo-a3bc35ec1802,Anholt-246b0793176c,752.6644418189122,0.0
Malmo-a3bc35ec1802,Muuga-98111e964fdd,4081.1995030293856,804.4588949763748
Muuga-98111e964fdd,Malmo-a3bc35ec1802,13240.252186197311,0.0
Gibraltar-1fcc4603c786,Tutunciftlik-193af158122c,3110.0647895328875,0.5028246752774354
Tutunciftlik-193af158122c,Gibraltar-1fcc4603c786,3384.4206580725513,154.87443847985074
Galveston-80916f3912d8,Saint John-99b5182a722a,12108.807862626496,0.0
Saint John-99b5182a722a,Galveston-80916f3912d8,1039.6625744622145,0.0
Saint John-99b5182a722a,Whiffen Head-9d95e17d2034,3794.7176405362698,0.0
Whiffen Head-9d95e17d2034,Saint John-99b5182a722a,3611.542049545863,1155.6131351624872
Ceyhan-3b530c868db0,Sidi Kerir-552c943d8b08,1198.2250591967493,0.0
Sidi Kerir-552c943d8b08,Ceyhan-3b530c868db0,3063.408606513479,0.0
Houston-453dd058edad,Rotterdam-92c070ce8e92,529.3178953546418,0.0
Rotterdam-92c070ce8e92,Houston-453dd058edad,8982.71810638966,0.0
Rotterdam-92c070ce8e92,Teesport-736acdd7afa2,15968.949950667806,2081.533643499063
Teesport-736acdd7afa2,Rotterdam-92c070ce8e92,8213.496169685208,0.0
Point Tupper-f3e3e61dc2f7,New York/New Jersey-8cd5e206ca6b,1520.18075520036,0.0
New York/New Jersey-8cd5e206ca6b,Point Tupper-f3e3e61dc2f7,12763.562651164697,0.0
New York/New Jersey-8cd5e206ca6b,Whiffen Head-9d95e17d2034,7585.234415028813,0.0
Whiffen Head-9d95e17d2034,New York/New Jersey-8cd5e206ca6b,11338.513843015282,0.0
Burnside-9cb1bffd1db9,Baton Rouge-1866b408e4d1,5211.932116189739,0.0
Baton Rouge-1866b408e4d1,Burnside-9cb1bffd1db9,2780.587742388781,0.0
Port Sulphur-2fc90e4a048b,Baton Rouge-1866b408e4d1,1532.2667754342235,1053.0476007362727
Baton Rouge-1866b408e4d1,Port Sulphur-2fc90e4a048b,3195.87241338979,0.0
Port Arthur-26aba1bc33e8,Smiths Bluff-8218c47cd56c,8911.97081361543,0.0
Smiths Bluff-8218c47cd56c,Port Arthur-26aba1bc33e8,857.6125402157228,1699.7957044997777
Smiths Bluff-8218c47cd56c,Whitegate-af96b36e8476,6692.937043544053,351.4089106618811
Whitegate-af96b36e8476,Smiths Bluff-8218c47cd56c,23120.427021525225,1479.004384803551
Pembroke-c44d85ab621f,Mongstad-8338fd2d4afb,237.58137963683575,5024.8845731970105
Mongstad-8338fd2d4afb,Pembroke-c44d85ab621f,4175.169394673849,0.0
Port Sulphur-2fc90e4a048b,Good Hope-431d3b6c8970,12345.747803220762,391.53316267824266
Good Hope-431d3b6c8970,Port Sulphur-2fc90e4a048b,5422.187522003181,0.0
Good Hope-431d3b6c8970,Texas City-28cb23375401,5110.612197184782,2506.463548534741
Texas City-28cb23375401,Good Hope-431d3b6c8970,7350.998415874949,245.12756507945787
Cherbourg-61cd5e165c61,Rotterdam-92c070ce8e92,4495.265407980766,0.0
Rotterdam-92c070ce8e92,Cherbourg-61cd5e165c61,13552.595528005324,0.0
Licata-65d8790884e7,Trieste-2aed856f346e,10206.694988014102,55.24077208353065
Trieste-2aed856f346e,Licata-65d8790884e7,1486.52770008116,0.0
Ceyhan-3b530c868db0,Sarroch-5e39efaa7d08,3545.1226987111218,0.0
Sarroch-5e39efaa7d08,Ceyhan-3b530c868db0,8364.357153004055,0.0
Sarroch-5e39efaa7d08,St Croix-746521cb3acc,836.8364323766095,561.9676417229532
St Croix-746521cb3acc,Sarroch-5e39efaa7d08,873.4253494945999,0.0
Cherbourg-61cd5e165c61,Wilhelmshaven-34a71cee910d,1989.9066003255434,25.989907374434228
Wilhelmshaven-34a71cee910d,Cherbourg-61cd5e165c61,2350.407190501479,345.5547011606973
Paldiski-2893a5793ddb,Ust-Luga-e9ea2bf59471,7083.6904133367125,1024.485596663748
Ust-Luga-e9ea2bf59471,Paldiski-2893a5793ddb,5462.975821506822,91.03563218002749
Anholt-246b0793176c,Rotterdam-92c070ce8e92,5570.628443362687,0.0
Rotterdam-92c070ce8e92,Anholt-246b0793176c,10094.297739640462,0.0
Gothenburg-de0033e99214,Good Hope-431d3b6c8970,1353.6017244854488,0.0
Good Hope-431d3b6c8970,Gothenburg-de0033e99214,4118.015494491281,808.8989014842392
Galveston-80916f3912d8,Freeport-3415bc29dc8c,9062.108888931136,0.0
Freeport-3415bc29dc8c,Galveston-80916f3912d8,5650.072589441241,507.2119680031101
Magpetco-c6d4b432d715,Saint John-99b5182a722a,3094.386122370524,0.0
Saint John-99b5182a722a,Magpetco-c6d4b432d715,2455.263994049001,0.0
Yeosu-e9b7bd6fcddb,Gwangyang-11ecb2ca4f7f,1467.436455224741,0.0
Gwangyang-11ecb2ca4f7f,Yeosu-e9b7bd6fcddb,4747.88370053184,0.0
Lehtma-2ba3e0774290,Primorsk-1745900bf09d,18747.91450986972,0.0
Primorsk-1745900bf09d,Lehtma-2ba3e0774290,2804.744264170721,0.0
Lehtma-2ba3e0774290,Skoldvik-9ac362d9504c,12045.544440263424,1484.8726363627443
Skoldvik-9ac362d9504c,Lehtma-2ba3e0774290,1099.0284302729342,991.1076824757426
Telavag-bbdf26c9d4ab,Sture-306d65b12c37,3752.516839073311,776.3285946329815
Sture-306d65b12c37,Telavag-bbdf26c9d4ab,10080.265889208398,110.42288961146309
Aber Wrac'h-2febe71345ec,Marsa-el-Brega-47896c91db43,10799.64221856433,381.01639758395834
Marsa-el-Brega-47896c91db43,Aber Wrac'h-2febe71345ec,7773.832660451626,0.0
Marsa-el-Brega-47896c91db43,Malta Freeport-d3fb8c6279a1,848.0069653843767,0.0
Malta Freeport-d3fb8c6279a1,Marsa-el-Brega-47896c91db43,2334.310828599132,0.0
Kozmino-62a166ce6f35,Ube-c273f1ec2e46,1506.8725870100825,0.0
Ube-c273f1ec2e46,Kozmino-62a166ce6f35,6013.19853400198,0.0
Kemen-8283de197a4c,Al Basrah-1fc976f51917,3658.536489835906,0.0
Al Basrah-1fc976f51917,Kemen-8283de197a4c,2392.522173828812,820.5899180963073
Fujairah-ca26fade3b91,Okha-bbd56498dcb1,2837.5482364528502,4.817781434177591
Okha-bbd56498dcb1,Fujairah-ca26fade3b91,1955.922108055154,0.0
Angra Dos Reis-d87b536f17a4,La Paloma-38165a549d3a,5001.109239988065,1080.565789914459
La Paloma-38165a549d3a,Angra Dos Reis-d87b536f17a4,3447.5876901653537,0.0
Angra Dos Reis-d87b536f17a4,Rio De Janeiro-ef2da6007e09,4424.788063761149,290.0602025396011
Rio De Janeiro-ef2da6007e09,Angra Dos Reis-d87b536f17a4,2836.293243044229,0.0
Skagen Havn-db9fa00eadc5,St Petersburg-ee5cca05838e,2098.3765584451594,0.0
St Petersburg-ee5cca05838e,Skagen Havn-db9fa00eadc5,6544.426178301964,777.2413364304762
Istanbul-5b38615ba682,Novorossiysk-45a5021eee47,723.1841328955787,441.47394075835143
Novorossiysk-45a5021eee47,Istanbul-5b38615ba682,2941.2971290047826,2024.55203244369
Novorossiysk-45a5021eee47,Trieste-2aed856f346e,2399.6793196410554,836.6417966292818
Trieste-2aed856f346e,Novorossiysk-45a5021eee47,2043.054550751121,1442.7878717201127
Port Aransas-29a8105fada5,Milford Haven-c669fc0bc437,1229.9645656927378,0.0
Milford Haven-c669fc0bc437,Port Aransas-29a8105fada5,2743.853055647569,0.0
Brunsbuttel-04769aa33742,Sture-306d65b12c37,348.4828887074094,646.7716594075121
Sture-306d65b12c37,Brunsbuttel-04769aa33742,4385.079558772174,208.12965732274336
Methil-e66612f17632,Hound Point-199882e34b06,6533.336584223446,0.0
Hound Point-199882e34b06,Methil-e66612f17632,398.2999683554415,0.0
Texel-898a448dd669,Escombreras-8ff2f5149d51,2859.484715825453,1368.3077975281997
Escombreras-8ff2f5149d51,Texel-898a448dd669,1345.1868615791952,0.0
Novorossiysk-45a5021eee47,Novorossiysk CPC-3b26a9570fd1,1310.572033190142,0.0
Novorossiysk CPC-3b26a9570fd1,Novorossiysk-45a5021eee47,4485.269428086221,657.1177720362658
Novorossiysk-45a5021eee47,Tarragona-75e622055165,1255.661814180496,2077.7347050178587
Tarragona-75e622055165,Novorossiysk-45a5021eee47,26779.70507911002,0.0
Tarragona-75e622055165,Malta Freeport-d3fb8c6279a1,723.4612844048463,0.0
Malta Freeport-d3fb8c6279a1,Tarragona-75e622055165,412.54625204924145,0.0
Beykoz-753956718b0e,Aliaga-21b1378cef5b,743.2950871386964,2723.538480923494
Aliaga-21b1378cef5b,Beykoz-753956718b0e,3578.132276191654,0.0
Santa Panagia-efd40d901d95,Novorossiysk-45a5021eee47,204.82016978278847,163.06752979628175
Novorossiysk-45a5021eee47,Santa Panagia-efd40d901d95,3393.202279289065,807.7560865122816
Bourgas-16d93a3bfdd3,Trieste-2aed856f346e,512.8995955259106,0.0
Trieste-2aed856f346e,Bourgas-16d93a3bfdd3,4067.5188920144356,0.0
Augusta-facbcc9badd3,Mellitah-f0d1246755ae,15924.055562002586,0.0
Mellitah-f0d1246755ae,Augusta-facbcc9badd3,4364.574668033654,0.0
Yalta-da31fda042b1,Novorossiysk CPC-3b26a9570fd1,4478.833806774566,0.0
Novorossiysk CPC-3b26a9570fd1,Yalta-da31fda042b1,7140.44251233664,0.0
Sao Francisco-a1636f5a0ca0,Rio De Janeiro-ef2da6007e09,822.3627033237144,0.0
Rio De Janeiro-ef2da6007e09,Sao Francisco-a1636f5a0ca0,13291.105944739797,3066.8621800184696
Sao Sebastiao-0bca302110e4,Ponta Do Ubu-582fde5e4522,8750.06015170907,0.0
Ponta Do Ubu-582fde5e4522,Sao Sebastiao-0bca302110e4,3516.453299207712,0.0
Port De Salvador-f8855b05ba0e,Madre De Deus-1d2feb9c4dd5,1247.5703579048024,0.0
Madre De Deus-1d2feb9c4dd5,Port De Salvador-f8855b05ba0e,4895.259385843521,0.0
Madre De Deus-1d2feb9c4dd5,Rio De Janeiro-ef2da6007e09,6822.7494857895645,0.0
Rio De Janeiro-ef2da6007e09,Madre De Deus-1d2feb9c4dd5,4290.906636875413,0.0
Rio De Janeiro-ef2da6007e09,Porto Acu-db9c1341eaaa,1167.3921927465767,806.4271413642882
Porto Acu-db9c1341eaaa,Rio De Janeiro-ef2da6007e09,14417.641380880483,390.57035323673415
Sao Sebastiao-0bca302110e4,Rio De Janeiro-ef2da6007e09,239.08051543319363,0.0
Rio De Janeiro-ef2da6007e09,Sao Sebastiao-0bca302110e4,3541.1479927558066,0.0
Sao Sebastiao-0bca302110e4,Porto Acu-db9c1341eaaa,815.5258231379916,0.0
Porto Acu-db9c1341eaaa,Sao Sebastiao-0bca302110e4,1146.7247858585533,0.0
Suape-b993f91ea377,Ponta Do Ubu-582fde5e4522,2699.9958900908623,1465.7914841671814
Ponta Do Ubu-582fde5e4522,Suape-b993f91ea377,5654.282893846652,0.0
Rio De Janeiro-ef2da6007e09,Arraial do Cabo-b054cfd95b71,2938.1191805076915,1254.8775197906834
Arraial do Cabo-b054cfd95b71,Rio De Janeiro-ef2da6007e09,289.7212681468945,969.7143154672391
Sao Sebastiao-0bca302110e4,Port De Salvador-f8855b05ba0e,9223.937083307368,0.0
Port De Salvador-f8855b05ba0e,Sao Sebastiao-0bca302110e4,12495.816088774141,0.0
Sao Sebastiao-0bca302110e4,Arraial do Cabo-b054cfd95b71,3289.137381275866,0.0
Arraial do Cabo-b054cfd95b71,Sao Sebastiao-0bca302110e4,5442.76310672005,904.4845294176739
Arraial do Cabo-b054cfd95b71,Porto Acu-db9c1341eaaa,71528.29467252232,0.0
Porto Acu-db9c1341eaaa,Arraial do Cabo-b054cfd95b71,2602.042839865805,0.0
Tramandai-9708170895cc,Santos-78f08d89b90b,3072.9216568458337,14.084096751334176
Santos-78f08d89b90b,Tramandai-9708170895cc,795.3895176819723,0.0
Santos-78f08d89b90b,Sao Francisco-a1636f5a0ca0,5790.478830516948,8719.226070433875
Sao Francisco-a1636f5a0ca0,Santos-78f08d89b90b,4005.1573128233786,0.0
Madre De Deus-1d2feb9c4dd5,Tramandai-9708170895cc,551.4173449657625,0.0
Tramandai-9708170895cc,Madre De Deus-1d2feb9c4dd5,516.4187181969388,722.7734268005148
Sao Sebastiao-0bca302110e4,Santos-78f08d89b90b,44782.79892864141,0.0
Santos-78f08d89b90b,Sao Sebastiao-0bca302110e4,1498.902388445339,0.0
Madre De Deus-1d2feb9c4dd5,Sao Sebastiao-0bca302110e4,4651.122742074058,0.0
Sao Sebastiao-0bca302110e4,Madre De Deus-1d2feb9c4dd5,3820.0019473628167,994.5026069924053
Rio De Janeiro-ef2da6007e09,Port De Salvador-f8855b05ba0e,1969.5664232147583,1713.7520030275793
Port De Salvador-f8855b05ba0e,Rio De Janeiro-ef2da6007e09,12555.60262362391,0.0
Madre De Deus-1d2feb9c4dd5,Ponta Do Ubu-582fde5e4522,2952.627091962903,0.0
Ponta Do Ubu-582fde5e4522,Madre De Deus-1d2feb9c4dd5,6102.369290575565,1278.9981687497707
Portocel-dd1fa02e9dc2,Port De Salvador-f8855b05ba0e,5854.092747681287,0.0
Port De Salvador-f8855b05ba0e,Portocel-dd1fa02e9dc2,951.1666692269312,3736.320577922813
Ponta Do Ubu-582fde5e4522,Rio De Janeiro-ef2da6007e09,1375.6554700312001,5031.2255390710925
Rio De Janeiro-ef2da6007e09,Ponta Do Ubu-582fde5e4522,5618.572618962982,0.0
Rio De Janeiro-ef2da6007e09,Tramandai-9708170895cc,1902.5901514108211,58.17022115019053
Tramandai-9708170895cc,Rio De Janeiro-ef2da6007e09,964.6765573076049,706.3984052832096
Rio De Janeiro-ef2da6007e09,Suape-b993f91ea377,5762.64215098794,0.0
Suape-b993f91ea377,Rio De Janeiro-ef2da6007e09,637.2051423213964,1670.411172677449
Angra Dos Reis-d87b536f17a4,Sao Sebastiao-0bca302110e4,1729.9761144553197,0.0
Sao Sebastiao-0bca302110e4,Angra Dos Reis-d87b536f17a4,2287.817846059686,0.0
Santos-78f08d89b90b,Rio De Janeiro-ef2da6007e09,1071.8278919674208,470.44686271877526
Rio De Janeiro-ef2da6007e09,Santos-78f08d89b90b,175.55933524293067,5767.266694328624
Tramandai-9708170895cc,Arraial do Cabo-b054cfd95b71,2441.1501250743104,29.38220321513836
Arraial do Cabo-b054cfd95b71,Tramandai-9708170895cc,2049.8287302578206,305.7279311997912
Angra Dos Reis-d87b536f17a4,Arraial do Cabo-b054cfd95b71,7448.313083744572,957.3845861016342
Arraial do Cabo-b054cfd95b71,Angra Dos Reis-d87b536f17a4,12911.274850485088,38.115940641153266
Angra Dos Reis-d87b536f17a4,Porto Acu-db9c1341eaaa,461.63626351654955,0.0
Porto Acu-db9c1341eaaa,Angra Dos Reis-d87b536f17a4,1483.75038848009,0.0
Madre De Deus-1d2feb9c4dd5,Porto Acu-db9c1341eaaa,26287.53540365713,0.0
Porto Acu-db9c1341eaaa,Madre De Deus-1d2feb9c4dd5,19077.01498491814,0.0
Tramandai-9708170895cc,Sao Francisco-a1636f5a0ca0,7392.163571076489,870.6453895076576
Sao Francisco-a1636f5a0ca0,Tramandai-9708170895cc,3972.768145622881,0.0
Suape-b993f91ea377,Porto Acu-db9c1341eaaa,11029.651683106451,0.0
Porto Acu-db9c1341eaaa,Suape-b993f91ea377,4038.361482105316,0.0
Porto Acu-db9c1341eaaa,Sao Francisco-a1636f5a0ca0,1273.0229635694468,0.0
Sao Francisco-a1636f5a0ca0,Porto Acu-db9c1341eaaa,3434.1615501819138,624.6710849367487
Porto Acu-db9c1341eaaa,Tramandai-9708170895cc,12673.186046650155,0.0
Tramandai-9708170895cc,Porto Acu-db9c1341eaaa,2656.4096002684287,971.3987808143745
Niteroi-4f72e75cb748,Rio De Janeiro-ef2da6007e09,459.8567693785469,109.06597974548389
Rio De Janeiro-ef2da6007e09,Niteroi-4f72e75cb748,19702.184063969824,0.0
Arraial do Cabo-b054cfd95b71,Sao Francisco-a1636f5a0ca0,2376.613909923926,0.0
Sao Francisco-a1636f5a0ca0,Arraial do Cabo-b054cfd95b71,20657.51596413276,2680.76889346333
Ponta Do Ubu-582fde5e4522,Porto Acu-db9c1341eaaa,1708.2862867510332,0.0
Porto Acu-db9c1341eaaa,Ponta Do Ubu-582fde5e4522,8392.115403692998,0.0
Sao Sebastiao-0bca302110e4,Tramandai-9708170895cc,4383.522991768519,0.0
Tramandai-9708170895cc,Sao Sebastiao-0bca302110e4,313.88794630060664,0.0
Risavika-704d5c9901be,Slagen-7e8c12fa544b,9154.65841909403,0.0
Slagen-7e8c12fa544b,Risavika-704d5c9901be,4676.171701135143,1086.591189854443
Skagen Havn-db9fa00eadc5,Hasvik-6cb08609d706,4672.885370643111,0.0
Hasvik-6cb08609d706,Skagen Havn-db9fa00eadc5,1072.90566682896,0.0
Mobile-17568e28e776,Coatzacoalcos-230dbf9a65a3,3801.9342039818157,0.0
Coatzacoalcos-230dbf9a65a3,Mobile-17568e28e776,29164.829972811487,1386.3029585007012
Port Arthur-26aba1bc33e8,Lake Charles-8a861dedd10d,5493.480770969117,2716.5569917267126
Lake Charles-8a861dedd10d,Port Arthur-26aba1bc33e8,4123.628051690713,0.0
Port Aransas-29a8105fada5,Corpus Christi-7a30d31f121f,10649.927152285292,300.26531620667816
Corpus Christi-7a30d31f121f,Port Aransas-29a8105fada5,3192.2473214711704,0.0
Trieste-2aed856f346e,Sarroch-5e39efaa7d08,42457.99662828486,0.0
Sarroch-5e39efaa7d08,Trieste-2aed856f346e,1939.8229483897485,0.0
Bozcaada-66352f54629d,Novorossiysk-45a5021eee47,123.76442132429786,0.0
Novorossiysk-45a5021eee47,Bozcaada-66352f54629d,2277.8440686214312,5537.2519569907145
Port Said-73e707725c62,Fujairah-ca26fade3b91,1425.2218153258295,0.0
Fujairah-ca26fade3b91,Port Said-73e707725c62,5086.534860776104,0.0
Santa Panagia-efd40d901d95,Malta Freeport-d3fb8c6279a1,1638.0160651764663,1429.1043567925522
Malta Freeport-d3fb8c6279a1,Santa Panagia-efd40d901d95,18815.529077409166,0.0
Carboneras-e7b358aa3913,Rotterdam-92c070ce8e92,175.53773414004237,207.5326302262217
